,link_ping
790,57
791,54
792,49
793,54
794,115
795,678
796,56
797,60
798,57
799,81
800,113
801,74
802,49
803,61
804,51
805,48
806,49
807,74
808,70
809,84
810,57
811,56
812,122
813,128
814,66
815,67
816,66
817,58
818,56
819,55
820,54
821,629
822,204
823,5000
824,5000
825,157
826,53
827,289
828,52
829,61
830,38
831,42
832,63
833,79
834,41
835,67
836,76
837,51
838,63
839,51
840,60
841,64
842,66
843,71
844,67
845,69
846,55
847,50
848,56
849,56
850,59
851,54
852,81
853,58
854,46
855,123
856,62
857,48
858,67
859,140
860,71
861,81
862,63
863,82
864,60
865,47
866,63
867,1725
868,67
869,75
870,82
871,67
872,55
873,58
874,63
875,72
876,70
877,48
878,49
879,49
880,64
881,75
882,1722
883,80
884,69
885,78
886,85
887,63
888,53
889,62
890,54
891,51
892,88
893,67
894,66
895,75
896,55
897,54
898,64
899,79
900,78
901,49
902,107
903,70
904,63
905,80
906,55
907,47
908,69
909,72
910,55
911,65
912,54
913,54
914,74
915,71
916,45
917,95
918,94
919,1707
920,59
921,59
922,59
923,42
924,80
925,80
926,63
927,73
928,77
929,69
930,66
931,55
932,94
933,80
934,81
935,66
936,40
937,70
938,62
939,54
940,68
941,5000
942,86
943,47
944,72
945,74
946,48
947,58
948,65
949,58
950,67
951,57
952,71
953,70
954,55
955,96
956,43
957,97
958,54
959,1707
960,54
961,68
962,38
963,41
964,39
965,59
966,50
967,71
968,76
969,61
970,90
971,52
972,66
973,73
974,102
975,68
976,82
977,55
978,54
979,56
980,57
981,103
982,67
983,66
984,69
985,67
986,51
987,543
988,928
989,1702
990,73
991,3218
992,75
993,54
994,50
995,63
996,43
997,58
998,67
999,54
1000,54
1001,204
1002,98
1003,76
1004,60
1005,108
1006,48
1007,83
1008,67
1009,49
1010,91
1011,49
1012,92
1013,48
1014,49
1015,91
1016,5000
1017,119
1018,54
1019,71
1020,53
1021,42
1022,63
1023,56
1024,61
1025,69
1026,56
1027,55
1028,43
1029,72
1030,103
1031,75
1032,65
1033,94
1034,68
1035,55
1036,54
1037,80
1038,99
1039,66
1040,85
1041,73
1042,30
1043,50
1044,69
1045,60
1046,140
1047,62
1048,58
1049,77
1050,63
1051,40
1052,45
1053,59
1054,64
1055,82
1056,57
1057,55
1058,74
1059,66
1060,66
1061,5000
1062,48
1063,76
1064,69
1065,138
1066,64
1067,88
1068,66
1069,60
1070,57
1071,57
1072,38
1073,61
1074,57
1075,64
1076,73
1077,78
1078,84
1079,63
1080,64
1081,64
1082,80
1083,77
1084,106
1085,138
1086,65
1087,60
1088,63
1089,58
1090,46
1091,62
1092,62
1093,51
1094,62
1095,71
1096,57
1097,75
1098,62
1099,78
1100,67
1101,78
1102,56
1103,1707
1104,1707
1105,1707
1106,85
1107,70
1108,65
1109,61
1110,65
1111,5000
1112,5000
1113,5000
1114,5000
1115,49
1116,50
1117,66
1118,40
1119,54
1120,64
1121,40
1122,92
1123,42
1124,63
1125,38
1126,44
1127,36
1128,47
1129,63
1130,59
1131,73
1132,103
1133,59
1134,63
1135,65
1136,92
1137,54
1138,54
1139,53
1140,53
1141,50
1142,73
1143,75
1144,64
1145,74
1146,77
1147,81
1148,75
1149,72
1150,88
1151,50
1152,59
1153,60
1154,56
1155,57
1156,68
1157,48
1158,45
1159,60
1160,53
1161,59
1162,50
1163,80
1164,77
1165,74
1166,70
1167,77
1168,75
1169,68
1170,86
1171,67
1172,73
1173,45
1174,51
1175,47
1176,56
1177,126
1178,50
1179,51
1180,2273
1181,93
1182,5000
1183,55
1184,55
1185,57
1186,63
1187,55
1188,59
1189,47
1190,47
1191,48
1192,49
1193,48
1194,49
1195,74
1196,73
1197,71
1198,58
1199,61
1200,78
1201,103
1202,57
1203,79
1204,81
1205,91
1206,106
1207,86
1208,81
1209,53
1210,54
1211,502
1212,628
1213,5000
1214,5000
1215,5000
1216,42
1217,66
1218,34
1219,58
1220,46
1221,46
1222,72
1223,52
1224,99
1225,99
1226,60
1227,69
1228,92
1229,77
1230,62
1231,69
1232,85
1233,64
1234,75
1235,60
1236,56
1237,83
1238,72
1239,61
1240,73
1241,60
1242,52
1243,96
1244,47
1245,53
1246,160
1247,74
1248,69
1249,66
1250,61
1251,65
1252,57
1253,66
1254,59
1255,46
1256,71
1257,60
1258,87
1259,57
1260,52
1261,74
1262,72
1263,67
1264,60
1265,54
1266,119
1267,76
1268,1204
1269,89
1270,78
1271,174
1272,47
1273,59
1274,70
1275,54
1276,55
1277,53
1278,65
1279,5000
1280,137
1281,38
1282,57
1283,72
1284,92
1285,61
1286,64
1287,57
1288,74
1289,56
1290,42
1291,57
1292,73
1293,91
1294,63
1295,69
1296,56
1297,84
1298,70
1299,58
1300,73
1301,121
1302,5000
1303,358
1304,76
1305,46
1306,46
1307,67
1308,34
1309,50
1310,67
1311,47
1312,41
1313,59
1314,42
1315,66
1316,75
1317,52
1318,104
1319,65
1320,62
1321,115
1322,55
1323,98
1324,95
1325,134
1326,65
1327,65
1328,64
1329,57
1330,76
1331,99
1332,95
1333,61
1334,80
1335,72
1336,89
1337,49
1338,71
1339,39
1340,69
1341,77
1342,77
1343,71
1344,46
1345,59
1346,52
1347,72
1348,75
1349,76
1350,82
1351,84
1352,76
1353,70
1354,55
1355,83
1356,45
1357,81
1358,80
1359,101
1360,101
1361,66
1362,60
1363,112
1364,58
1365,57
1366,55
1367,54
1368,57
1369,57
1370,65
1371,1707
1372,42
1373,49
1374,48
1375,82
1376,76
1377,148
1378,148
1379,89
1380,73
1381,74
1382,71
1383,83
1384,85
1385,69
1386,54
1387,53
1388,54
1389,53
1390,4180
1391,59
1392,59
1393,47
1394,52
1395,101
1396,55
1397,137
1398,96
1399,73
1400,57
1401,87
1402,82
1403,58
1404,119
1405,68
1406,51
1407,81
1408,95
1409,58
1410,34
1411,142
1412,50
1413,106
1414,71
1415,53
1416,61
1417,66
1418,65
1419,79
1420,429
1421,5000
1422,42
1423,67
1424,63
1425,63
1426,53
1427,56
1428,99
1429,50
1430,51
1431,59
1432,48
1433,49
1434,62
1435,5000
1436,5000
1437,93
1438,64
1439,49
1440,44
1441,65
1442,44
1443,41
1444,55
1445,61
1446,50
1447,38
1448,57
1449,69
1450,73
1451,88
1452,82
1453,66
1454,54
1455,104
1456,56
1457,97
1458,60
1459,72
1460,62
1461,88
1462,73
1463,58
1464,72
1465,93
1466,59
1467,57
1468,67
1469,66
1470,77
1471,72
1472,86
1473,75
1474,50
1475,66
1476,88
1477,54
1478,52
1479,49
1480,78
1481,56
1482,58
1483,49
1484,54
1485,61
1486,1707
1487,48
1488,119
1489,70
1490,68
1491,85
1492,69
1493,75
1494,105
1495,67
1496,71
1497,54
1498,58
1499,61
1500,54
1501,79
1502,47
1503,49
1504,112
1505,56
1506,57
1507,68
1508,53
1509,91
1510,55
1511,78
1512,92
1513,55
1514,105
1515,49
1516,65
1517,61
1518,1702
1519,81
1520,114
1521,86
1522,48
1523,48
1524,43
1525,78
1526,84
1527,57
1528,69
1529,49
1530,43
1531,63
1532,66
1533,72
1534,72
1535,53
1536,56
1537,65
1538,68
1539,5000
1540,54
1541,78
1542,97
1543,45
1544,70
1545,56
1546,54
1547,53
1548,56
1549,5000
1550,5000
1551,61
1552,70
1553,55
1554,49
1555,56
1556,70
1557,57
1558,52
1559,5000
1560,42
1561,56
1562,62
1563,44
1564,106
1565,56
1566,56
1567,56
1568,68
1569,37
1570,38
1571,83
1572,53
1573,56
1574,111
1575,46
1576,54
1577,73
1578,68
1579,34
1580,95
1581,89
1582,97
1583,80
1584,50
1585,56
1586,48
1587,83
1588,43
1589,91
1590,71
1591,60
1592,66
1593,40
1594,77
1595,74
1596,54
1597,121
1598,41
1599,45
1600,58
1601,79
1602,84
1603,83
1604,56
1605,56
1606,79
1607,81
1608,39
1609,45
1610,292
1611,68
1612,45
1613,63
1614,71
1615,52
1616,41
1617,47
1618,72
1619,77
1620,57
1621,64
1622,128
1623,104
1624,89
1625,81
1626,71
1627,73
1628,65
1629,96
1630,65
1631,73
1632,79
1633,72
1634,86
1635,1110
1636,124
1637,2015
1638,58
1639,57
1640,55
1641,60
1642,59
1643,61
1644,91
1645,93
1646,67
1647,66
1648,81
1649,127
1650,60
1651,60
1652,65
1653,182
1654,723
1655,368
1656,115
1657,5000
1658,5000
1659,5000
1660,5000
1661,5000
1662,49
1663,81
1664,55
1665,47
1666,43
1667,39
1668,46
1669,61
1670,84
1671,50
1672,77
1673,72
1674,57
1675,59
1676,64
1677,92
1678,98
1679,101
1680,54
1681,66
1682,58
1683,62
1684,66
1685,86
1686,61
1687,82
1688,84
1689,77
1690,75
1691,69
1692,68
1693,56
1694,60
1695,113
1696,71
1697,101
1698,67
1699,54
1700,111
1701,79
1702,75
1703,86
1704,56
1705,52
1706,88
1707,142
1708,66
1709,46
1710,56
1711,46
1712,59
1713,79
1714,5000
1715,878
1716,61
1717,54
1718,55
1719,1247
1720,64
1721,61
1722,51
1723,57
1724,49
1725,49
1726,47
1727,49
1728,61
1729,49
1730,332
1731,65
1732,96
1733,73
1734,59
1735,54
1736,59
1737,55
1738,2552
1739,59
1740,58
1741,58
1742,512
1743,58
1744,81
1745,50
1746,98
1747,77
1748,5000
1749,56
1750,94
1751,58
1752,72
1753,57
1754,45
1755,59
1756,48
1757,75
1758,51
1759,88
1760,53
1761,50
1762,75
1763,117
1764,76
1765,61
1766,5000
1767,75
1768,5000
1769,5000
1770,5000
1771,56
1772,89
1773,64
1774,44
1775,56
1776,61
1777,56
1778,60
1779,62
1780,56
1781,48
1782,79
1783,281
1784,5000
1785,5000
1786,5000
1787,5000
1788,5000
1789,5000
1790,49
1791,49
1792,78
1793,49
1794,39
1795,40
1796,64
1797,64
1798,50
1799,335
1800,63
1801,62
1802,57
1803,112
1804,93
1805,66
1806,57
1807,117
1808,90
1809,77
1810,88
1811,88
1812,67
1813,77
1814,68
1815,67
1816,78
1817,78
1818,55
1819,93
1820,128
1821,61
1822,64
1823,85
1824,78
1825,54
1826,67
1827,74
1828,74
1829,60
1830,93
1831,93
1832,65
1833,57
1834,59
1835,45
1836,53
1837,71
1838,50
1839,66
1840,66
1841,64
1842,117
1843,70
1844,63
1845,72
1846,62
1847,55
1848,51
1849,59
1850,55
1851,55
1852,74
1853,47
1854,57
1855,50
1856,2273
1857,1110
1858,89
1859,62
1860,55
1861,56
1862,92
1863,49
1864,58
1865,50
1866,48
1867,50
1868,121
1869,76
1870,72
1871,72
1872,76
1873,74
1874,98
1875,58
1876,75
1877,75
1878,78
1879,145
1880,127
1881,69
1882,53
1883,43
1884,140
1885,93
1886,54
1887,70
1888,43
1889,51
1890,49
1891,2531
1892,67
1893,55
1894,58
1895,67
1896,61
1897,56
1898,41
1899,51
1900,68
1901,64
1902,73
1903,63
1904,80
1905,75
1906,54
1907,81
1908,41
1909,112
1910,75
1911,56
1912,56
1913,54
1914,72
1915,66
1916,53
1917,80
1918,314
1919,103
1920,60
1921,38
1922,76
1923,46
1924,51
1925,80
1926,65
1927,63
1928,59
1929,50
1930,71
1931,48
1932,77
1933,80
1934,77
1935,65
1936,77
1937,67
1938,54
1939,82
1940,56
1941,53
1942,87
1943,1343
1944,5000
1945,5000
1946,47
1947,42
1948,37
1949,55
1950,88
1951,83
1952,69
1953,59
1954,55
1955,55
1956,103
1957,89
1958,70
1959,69
1960,57
1961,48
1962,77
1963,76
1964,60
1965,42
1966,50
1967,57
1968,50
1969,89
1970,84
1971,56
1972,57
1973,49
1974,106
1975,74
1976,78
1977,87
1978,443
1979,5000
1980,5000
1981,98
1982,57
1983,62
1984,57
1985,62
1986,81
1987,92
1988,93
1989,52
1990,74
1991,63
1992,104
1993,48
1994,54
1995,112
1996,62
1997,52
1998,198
1999,49
2000,67
2001,58
2002,68
2003,49
2004,86
2005,91
2006,92
2007,77
2008,45
2009,90
2010,109
2011,64
2012,66
2013,36
2014,54
2015,59
2016,79
2017,70
2018,5000
2019,5000
2020,90
2021,119
2022,48
2023,54
2024,71
2025,51
2026,47
2027,53
2028,38
2029,68
2030,68
2031,60
2032,88
2033,76
2034,52
2035,62
2036,144
2037,55
2038,49
2039,70
2040,77
2041,64
2042,70
2043,54
2044,94
2045,86
2046,51
2047,67
2048,40
2049,77
2050,74
2051,54
2052,73
2053,75
2054,84
2055,59
2056,53
2057,77
2058,51
2059,76
2060,87
2061,58
2062,75
2063,5000
2064,5000
2065,58
2066,62
2067,68
2068,63
2069,47
2070,52
2071,51
2072,49
2073,45
2074,71
2075,73
2076,55
2077,96
2078,63
2079,70
2080,110
2081,54
2082,106
2083,5000
2084,71
2085,53
2086,76
2087,49
2088,133
2089,76
2090,69
2091,66
2092,85
2093,5000
2094,59
2095,60
2096,45
2097,48
2098,63
2099,74
2100,87
2101,52
2102,65
2103,53
2104,54
2105,46
2106,53
2107,68
2108,79
2109,54
2110,80
2111,66
2112,49
2113,718
2114,76
2115,52
2116,104
2117,84
2118,72
2119,132
2120,67
2121,70
2122,61
2123,80
2124,1707
2125,42
2126,76
2127,54
2128,32
2129,42
2130,41
2131,45
2132,81
2133,66
2134,120
2135,56
2136,83
2137,72
2138,118
2139,75
2140,64
2141,67
2142,69
2143,59
2144,82
2145,67
2146,153
2147,53
2148,4180
2149,106
2150,96
2151,62
2152,48
2153,34
2154,73
2155,85
2156,53
2157,71
2158,41
2159,80
2160,74
2161,56
2162,53
2163,51
2164,98
2165,87
2166,68
2167,58
2168,51
2169,75
2170,85
2171,51
2172,91
2173,45
2174,77
2175,66
2176,55
2177,71
2178,341
2179,75
2180,64
2181,45
2182,49
2183,5000
2184,34
2185,75
2186,100
2187,74
2188,69
2189,59
2190,62
2191,59
2192,149
2193,41
2194,70
2195,55
2196,81
2197,94
2198,543
2199,157
2200,55
2201,63
2202,51
2203,75
2204,60
2205,62
2206,67
2207,52
2208,1725
2209,61
2210,70
2211,75
2212,56
2213,41
2214,67
2215,73
2216,65
2217,70
2218,5000
2219,5000
2220,78
2221,51
2222,70
2223,56
2224,54
2225,49
2226,91
2227,47
2228,70
2229,55
2230,49
2231,52
2232,792
2233,47
2234,66
2235,76
2236,55
2237,67
2238,45
2239,80
