,link_ping
10106,69
10107,67
10108,50
10109,66
10110,58
10111,50
10112,83
10113,60
10114,92
10115,62
10116,2556
10117,93
10118,66
10119,78
10120,56
10121,2556
10122,64
10123,103
10124,69
10125,58
10126,2556
10127,120
10128,50
10129,69
10130,61
10131,2556
10132,120
10133,91
10134,67
10135,58
10136,2556
10137,69
10138,5000
10139,85
10140,52
10141,64
10142,75
10143,67
10144,55
10145,71
10146,109
10147,54
10148,61
10149,53
10150,49
10151,4763
10152,60
10153,50
10154,114
10155,95
10156,2561
10157,81
10158,51
10159,48
10160,67
10161,2556
10162,84
10163,49
10164,82
10165,91
10166,68
10167,86
10168,65
10169,48
10170,51
10171,2556
10172,49
10173,5000
10174,84
10175,80
10176,2556
10177,48
10178,48
10179,83
10180,48
10181,5000
10182,82
10183,48
10184,47
10185,81
10186,2556
10187,47
10188,46
10189,86
10190,40
10191,51
10192,57
10193,58
10194,67
10195,78
10196,2556
10197,72
10198,5000
10199,93
10200,81
10201,5000
10202,67
10203,66
10204,50
10205,48
10206,2556
10207,118
10208,53
10209,73
10210,62
10211,46
10212,90
10213,86
10214,56
10215,82
10216,2556
10217,63
10218,5000
10219,80
10220,51
10221,63
10222,48
10223,76
10224,5000
10225,104
10226,1225
10227,65
10228,60
10229,80
10230,52
10231,2556
10232,123
10233,66
10234,63
10235,60
10236,68
10237,137
10238,59
10239,5000
10240,56
10241,2556
10242,97
10243,75
10244,84
10245,59
10246,50
10247,60
10248,78
10249,5000
10250,63
10251,2556
10252,131
10253,70
10254,71
10255,60
10256,224
10257,52
10258,44
10259,52
10260,50
10261,2556
10262,95
10263,87
10264,73
10265,60
10266,5000
10267,55
10268,48
10269,89
10270,89
10271,5000
10272,64
10273,77
10274,61
10275,48
10276,2556
10277,77
10278,51
10279,73
10280,60
10281,5000
10282,107
10283,90
10284,60
10285,52
10286,3376
10287,121
10288,62
10289,78
10290,67
10291,2556
10292,81
10293,82
10294,82
10295,60
10296,5000
10297,73
10298,63
10299,66
10300,48
10301,739
10302,76
10303,55
10304,50
10305,55
10306,5000
10307,58
10308,57
10309,70
10310,51
10311,157
10312,72
10313,57
10314,62
10315,49
10316,38
10317,71
10318,67
10319,56
10320,67
10321,65
10322,132
10323,75
10324,5000
10325,56
10326,60
10327,61
10328,59
10329,66
10330,42
10331,53
10332,52
10333,74
10334,81
10335,77
10336,65
10337,72
10338,66
10339,57
10340,77
10341,2088
10342,118
10343,59
10344,87
10345,47
10346,55
10347,68
10348,55
10349,54
10350,74
10351,2556
10352,110
10353,69
10354,73
10355,60
10356,58
10357,47
10358,117
10359,84
10360,39
10361,2556
10362,93
10363,63
10364,66
10365,58
10366,2556
10367,83
10368,69
10369,72
10370,53
10371,4146
10372,59
10373,52
10374,39
10375,102
10376,1288
10377,86
10378,63
10379,84
10380,43
10381,1331
10382,60
10383,83
10384,107
10385,67
10386,3209
10387,63
10388,43
10389,58
10390,83
10391,2305
10392,60
10393,49
10394,2556
10395,126
10396,86
10397,72
10398,51
10399,2556
10400,93
10401,100
10402,72
10403,57
10404,287
10405,49
10406,50
10407,53
10408,91
10409,55
10410,107
10411,41
10412,75
10413,54
10414,1784
10415,69
10416,59
10417,81
10418,119
10419,5000
10420,69
10421,49
10422,97
10423,68
10424,47
10425,60
10426,59
10427,89
10428,44
10429,2556
10430,70
10431,77
10432,73
10433,56
10434,2556
10435,85
10436,47
10437,73
10438,57
10439,58
10440,65
10441,59
10442,59
10443,66
10444,5000
10445,88
10446,51
10447,39
10448,70
10449,297
10450,92
10451,5000
10452,64
10453,56
10454,68
10455,78
10456,64
10457,60
10458,66
10459,2556
10460,89
10461,307
10462,75
10463,93
10464,219
10465,49
10466,51
10467,71
10468,73
10469,41
10470,68
10471,61
10472,56
10473,107
10474,2556
10475,68
10476,57
10477,76
10478,56
10479,42
10480,71
10481,161
10482,84
10483,58
10484,102
10485,49
10486,56
10487,83
10488,119
10489,89
10490,82
10491,66
10492,67
10493,57
10494,67
10495,57
10496,64
10497,60
10498,66
10499,2556
10500,110
10501,57
10502,66
10503,55
10504,2556
10505,91
10506,100
10507,70
10508,60
10509,54
10510,138
10511,51
10512,78
10513,56
10514,2556
10515,104
10516,64
10517,70
10518,56
10519,2065
10520,62
10521,77
10522,46
10523,65
10524,43
10525,94
10526,40
10527,5000
10528,55
10529,40
10530,95
10531,82
10532,63
10533,54
10534,5000
10535,56
10536,97
10537,47
10538,48
10539,2556
10540,78
10541,81
10542,83
10543,54
10544,217
10545,67
10546,60
10547,54
10548,73
10549,870
10550,41
10551,77
10552,67
10553,53
10554,2679
10555,64
10556,102
10557,2556
10558,111
10559,66
10560,69
10561,59
10562,1217
10563,68
10564,70
10565,66
10566,87
10567,2556
10568,94
10569,57
10570,70
10571,94
10572,40
10573,69
10574,75
10575,56
10576,88
10577,5000
10578,97
10579,62
10580,58
10581,51
10582,1614
10583,89
10584,146
10585,79
10586,63
10587,803
10588,46
10589,59
10590,57
10591,60
10592,69
10593,51
10594,97
10595,60
10596,93
10597,66
10598,1734
10599,87
10600,2556
10601,83
10602,69
10603,72
10604,53
10605,2556
10606,72
10607,85
10608,73
10609,60
10610,65
10611,61
10612,69
10613,59
10614,93
10615,86
10616,51
10617,58
10618,73
10619,174
10620,42
10621,78
10622,94
10623,57
10624,67
10625,5000
10626,52
10627,60
10628,65
10629,49
10630,2051
10631,109
10632,63
10633,65
10634,50
10635,2556
10636,78
10637,89
10638,66
10639,55
10640,55
10641,151
10642,54
10643,63
10644,115
10645,2556
10646,130
10647,58
10648,68
10649,57
10650,2556
10651,164
10652,56
10653,83
10654,60
10655,2556
10656,76
10657,58
10658,84
10659,47
10660,4173
10661,47
10662,72
10663,1634
10664,103
10665,60
10666,82
10667,63
10668,182
10669,123
10670,74
10671,71
10672,60
10673,273
10674,45
10675,42
10676,46
10677,65
10678,3468
10679,55
10680,57
10681,47
10682,91
10683,71
10684,75
10685,54
10686,48
10687,74
10688,48
10689,74
10690,79
10691,60
10692,56
10693,292
10694,55
10695,58
10696,2015
10697,54
10698,115
10699,50
10700,48
10701,143
10702,46
10703,3974
10704,57
10705,31
10706,60
10707,48
10708,51
10709,64
10710,58
10711,52
10712,2556
10713,83
10714,43
10715,102
10716,60
10717,2556
10718,77
10719,5000
10720,84
10721,51
10722,63
10723,64
10724,61
10725,54
10726,85
10727,2556
10728,109
10729,58
10730,109
10731,56
10732,2556
10733,85
10734,60
10735,72
10736,56
10737,721
10738,51
10739,67
10740,54
10741,77
10742,47
10743,137
10744,87
10745,60
10746,54
10747,2556
10748,85
10749,63
10750,69
10751,60
10752,2556
10753,78
10754,60
10755,74
10756,63
10757,49
10758,68
10759,80
10760,51
10761,83
10762,61
10763,230
10764,296
10765,47
10766,73
10767,46
10768,89
10769,76
10770,56
10771,82
10772,2556
10773,95
10774,69
10775,61
10776,63
10777,2556
10778,84
10779,57
10780,68
10781,56
10782,5000
10783,75
10784,48
10785,61
10786,99
10787,75
10788,117
10789,69
10790,77
10791,57
10792,63
10793,65
10794,55
10795,56
10796,82
10797,5000
10798,53
10799,71
10800,61
10801,61
10802,2556
10803,69
10804,61
10805,85
10806,56
10807,204
10808,70
10809,52
10810,63
10811,61
10812,2556
10813,87
10814,5000
10815,65
10816,81
10817,59
10818,74
10819,64
10820,228
10821,2556
10822,103
10823,90
10824,72
10825,60
10826,101
10827,72
10828,60
10829,71
10830,76
10831,2812
10832,54
10833,60
10834,40
10835,78
10836,154
10837,57
10838,68
10839,65
10840,72
10841,103
10842,1707
10843,54
10844,43
10845,51
10846,93
10847,57
10848,61
10849,5000
10850,73
10851,49
10852,62
10853,51
10854,66
10855,96
10856,76
10857,74
10858,57
10859,67
10860,78
10861,64
10862,60
10863,66
10864,4053
10865,74
10866,51
10867,72
10868,83
10869,2556
10870,83
10871,57
10872,122
10873,57
10874,2065
10875,62
10876,71
10877,46
10878,65
10879,2556
10880,71
10881,61
10882,73
10883,57
10884,2556
10885,84
10886,67
10887,77
10888,53
10889,43
10890,75
10891,66
10892,80
10893,85
10894,84
10895,75
10896,64
10897,82
10898,76
10899,40
10900,60
10901,154
10902,57
10903,68
10904,1713
10905,57
10906,56
10907,42
10908,82
10909,2556
10910,72
10911,121
10912,64
10913,72
10914,2556
10915,56
10916,5000
10917,84
10918,53
10919,154
10920,49
10921,47
10922,58
10923,77
10924,44
10925,88
10926,66
10927,50
10928,73
10929,49
10930,157
10931,70
10932,197
10933,55
10934,37
10935,77
10936,63
10937,48
10938,74
10939,940
10940,50
10941,64
10942,72
10943,62
10944,141
10945,61
10946,86
10947,87
10948,86
10949,2051
10950,109
10951,73
10952,79
10953,50
10954,46
10955,90
10956,86
10957,56
10958,66
10959,54
10960,71
10961,63
10962,80
10963,113
10964,3328
10965,57
10966,54
10967,5000
10968,62
10969,71
10970,48
10971,49
10972,57
10973,86
10974,72
10975,67
10976,67
10977,3358
10978,78
10979,58
10980,76
10981,70
10982,40
10983,94
10984,48
10985,74
10986,54
10987,1873
10988,72
10989,49
10990,48
10991,57
10992,158
10993,74
10994,60
10995,2556
10996,73
10997,43
10998,69
10999,61
11000,2556
11001,51
11002,52
11003,84
11004,60
11005,5000
11006,101
11007,67
11008,73
11009,57
11010,297
11011,78
11012,5000
11013,71
11014,60
11015,5000
11016,83
11017,50
11018,84
11019,52
11020,2556
11021,67
11022,47
11023,90
11024,58
11025,671
11026,60
11027,89
11028,54
11029,56
11030,2556
11031,100
11032,55
11033,75
11034,63
11035,2556
11036,101
11037,69
11038,64
11039,63
11040,2556
11041,98
11042,75
11043,77
11044,60
11045,58
11046,65
11047,64
11048,56
11049,67
11050,43
11051,69
11052,49
11053,129
11054,90
11055,5000
11056,65
11057,42
11058,70
11059,94
11060,326
11061,74
11062,60
11063,96
11064,61
11065,2556
11066,147
11067,64
11068,78
11069,60
11070,2556
11071,85
11072,63
11073,89
11074,59
11075,2556
11076,143
11077,96
11078,404
11079,59
11080,2556
11081,59
11082,73
11083,79
11084,56
11085,50
11086,71
11087,50
11088,79
11089,70
11090,464
11091,51
11092,60
11093,68
11094,5000
11095,58
11096,85
11097,66
11098,86
11099,41
11100,107
11101,70
11102,55
11103,60
11104,42
11105,86
11106,64
11107,62
11108,60
11109,5000
11110,47
11111,83
11112,111
11113,50
11114,75
11115,84
11116,57
11117,52
11118,119
11119,68
11120,113
11121,53
11122,60
11123,74
11124,46
11125,80
11126,73
11127,79
11128,159
11129,3878
11130,50
11131,86
11132,84
11133,73
11134,43
11135,52
11136,54
11137,1707
11138,54
11139,39
11140,57
11141,48
11142,61
11143,74
11144,1775
11145,82
11146,37
11147,63
11148,58
11149,789
11150,54
11151,48
11152,70
11153,75
11154,137
11155,49
11156,48
11157,70
11158,56
11159,2556
11160,61
11161,51
11162,83
11163,47
11164,2556
11165,109
11166,61
11167,66
11168,57
11169,42
11170,67
11171,77
11172,56
11173,81
11174,92
11175,101
11176,50
11177,5000
11178,53
11179,2556
11180,75
11181,45
11182,79
11183,361
11184,5000
11185,66
11186,56
11187,52
11188,66
11189,4092
11190,82
11191,61
11192,67
11193,53
11194,2556
11195,82
11196,5000
11197,89
11198,50
11199,2556
11200,96
11201,76
11202,68
11203,68
11204,2556
11205,103
11206,116
11207,116
11208,64
11209,5000
11210,55
11211,50
11212,65
11213,134
11214,41
11215,66
11216,67
11217,59
11218,54
11219,5000
11220,53
11221,78
11222,117
11223,49
11224,62
11225,52
11226,83
11227,55
11228,65
11229,538
11230,84
11231,68
11232,53
11233,49
11234,58
11235,87
11236,76
11237,62
11238,54
11239,47
11240,47
11241,58
11242,56
11243,67
11244,50
11245,59
11246,112
11247,59
11248,158
11249,2598
11250,69
11251,65
11252,5000
11253,63
11254,82
11255,52
11256,51
11257,2556
11258,84
11259,49
11260,82
11261,91
11262,2556
11263,86
11264,97
11265,76
11266,56
11267,2556
11268,81
11269,94
11270,82
11271,60
11272,42
11273,68
11274,60
11275,64
11276,58
11277,54
11278,75
11279,103
11280,61
11281,46
11282,2556
11283,68
11284,57
11285,71
11286,59
11287,2422
11288,85
11289,64
11290,73
11291,86
11292,590
11293,60
11294,49
11295,66
11296,59
11297,37
11298,53
11299,48
11300,73
11301,47
11302,54
11303,71
11304,48
11305,46
11306,2556
11307,81
11308,86
11309,134
11310,60
11311,392
11312,59
11313,65
11314,57
11315,102
11316,85
11317,83
11318,55
11319,66
11320,55
11321,2556
11322,91
11323,54
11324,70
11325,59
11326,2556
11327,98
11328,58
11329,88
11330,55
11331,45
11332,81
11333,72
11334,54
11335,78
11336,2556
11337,91
11338,65
11339,73
11340,787
11341,40
11342,58
11343,103
11344,91
11345,76
11346,72
11347,84
11348,72
11349,87
11350,62
11351,5000
11352,100
11353,69
11354,57
11355,56
11356,38
11357,94
11358,106
11359,55
11360,83
11361,45
11362,3708
11363,56
11364,78
11365,97
11366,55
11367,56
11368,75
11369,67
11370,75
11371,53
11372,76
11373,75
11374,56
11375,81
11376,4776
11377,76
11378,38
11379,76
11380,72
11381,42
11382,73
11383,97
11384,54
11385,67
11386,411
11387,73
11388,110
11389,55
11390,48
11391,2556
11392,145
11393,50
11394,64
11395,58
11396,49
11397,82
11398,93
11399,52
11400,73
11401,43
11402,61
11403,48
11404,63
11405,80
11406,74
11407,66
11408,56
11409,111
11410,103
11411,2556
11412,84
11413,59
11414,75
11415,53
11416,135
11417,100
11418,59
11419,68
11420,57
11421,2556
11422,133
11423,68
11424,96
11425,60
11426,48
11427,56
11428,91
11429,61
11430,79
11431,2556
11432,80
11433,57
11434,126
11435,60
11436,2556
11437,85
11438,68
11439,75
11440,60
11441,2556
11442,62
11443,64
11444,70
11445,60
11446,2556
11447,91
11448,133
11449,71
11450,63
11451,2556
11452,103
11453,111
11454,74
11455,63
11456,47
11457,126
11458,66
11459,49
11460,74
11461,67
11462,76
11463,79
11464,55
11465,94
11466,47
11467,47
11468,193
11469,670
11470,537
11471,1724
11472,103
11473,40
11474,80
11475,67
11476,50
11477,71
11478,57
11479,87
11480,143
11481,5000
11482,66
11483,54
11484,72
11485,50
11486,2556
11487,90
11488,95
11489,76
11490,57
11491,3708
11492,78
11493,47
11494,58
11495,75
11496,278
11497,49
11498,66
11499,49
11500,54
11501,5000
11502,82
11503,48
11504,47
11505,81
11506,2556
11507,84
11508,54
11509,95
11510,191
11511,39
11512,58
11513,72
11514,678
11515,128
11516,42
11517,123
11518,39
11519,5000
11520,71
11521,45
11522,75
11523,78
11524,53
11525,67
11526,75
11527,80
11528,76
11529,65
11530,52
11531,2556
11532,179
11533,67
11534,73
11535,97
11536,431
11537,73
11538,87
11539,70
11540,64
11541,2556
11542,118
11543,47
11544,69
11545,62
11546,2556
11547,97
11548,89
11549,78
11550,57
11551,5000
11552,76
11553,52
11554,56
11555,49
11556,5000
11557,70
11558,60
11559,72
11560,73
11561,46
11562,73
11563,76
11564,54
11565,70
11566,45
11567,69
11568,74
11569,52
11570,69
11571,2556
11572,71
11573,58
11574,65
11575,61
11576,282
11577,110
11578,70
11579,64
11580,63
11581,59
11582,68
11583,62
11584,53
11585,59
11586,2556
11587,49
11588,74
11589,87
11590,276
11591,2556
11592,73
11593,67
11594,77
11595,50
11596,101
11597,72
11598,60
11599,60
11600,76
11601,44
11602,70
11603,65
11604,59
11605,78
11606,2556
11607,97
11608,48
11609,77
11610,59
11611,5000
11612,70
11613,58
11614,49
11615,48
11616,368
11617,53
11618,77
11619,99
11620,49
11621,5000
11622,63
11623,56
11624,51
11625,49
11626,39
11627,47
11628,88
11629,177
11630,91
11631,5000
11632,84
11633,63
11634,63
11635,57
11636,5000
11637,63
11638,82
11639,52
11640,53
11641,52
11642,59
11643,67
11644,70
11645,70
11646,2556
11647,114
11648,61
11649,58
11650,60
11651,90
11652,105
11653,101
11654,5000
11655,65
11656,51
11657,64
11658,60
11659,54
11660,47
11661,2556
11662,76
11663,74
11664,71
11665,60
11666,42
11667,71
11668,76
11669,57
11670,54
11671,2556
11672,72
11673,49
11674,83
11675,47
11676,5000
11677,134
11678,53
11679,53
11680,49
11681,2556
11682,69
11683,66
11684,78
11685,59
11686,184
11687,80
11688,70
11689,66
11690,71
11691,77
11692,93
11693,67
11694,71
11695,57
11696,44
11697,76
11698,87
11699,58
11700,73
11701,49
11702,73
11703,57
11704,60
11705,76
11706,2556
11707,85
11708,52
11709,95
11710,41
11711,3587
11712,53
11713,90
11714,45
11715,61
11716,2556
11717,96
11718,68
11719,73
11720,107
11721,2556
11722,62
11723,56
11724,87
11725,46
11726,2556
11727,69
11728,54
11729,65
11730,67
11731,2556
11732,69
11733,128
11734,67
11735,61
11736,5000
11737,107
11738,68
11739,114
11740,56
11741,3542
11742,54
11743,59
11744,95
11745,70
11746,5000
11747,81
11748,56
11749,52
11750,66
11751,64
11752,57
11753,111
11754,61
11755,65
11756,154
11757,54
11758,42
11759,56
11760,88
11761,624
11762,63
11763,53
11764,85
11765,49
11766,2556
11767,147
11768,69
11769,71
11770,62
11771,2556
11772,88
11773,47
11774,75
11775,59
11776,2556
11777,90
11778,73
11779,71
11780,63
11781,2556
11782,111
11783,5000
11784,89
11785,51
11786,2556
11787,85
11788,56
11789,85
11790,61
11791,1531
11792,125
11793,47
11794,76
11795,63
11796,2556
11797,86
11798,74
11799,80
11800,61
11801,44
11802,43
11803,58
11804,88
11805,74
11806,79
11807,113
11808,55
11809,55
11810,70
11811,43
11812,56
11813,75
11814,55
11815,55
11816,2598
11817,51
11818,88
11819,30
11820,91
11821,140
11822,58
11823,55
11824,875
11825,64
11826,48
11827,67
11828,63
11829,60
11830,48
11831,47
11832,72
11833,106
11834,138
11835,49
11836,75
11837,56
11838,286
11839,86
11840,100
11841,73
11842,56
11843,800
11844,53
11845,48
11846,59
11847,61
11848,2556
11849,92
11850,66
11851,90
11852,60
11853,2556
11854,112
11855,64
11856,69
11857,60
11858,3328
11859,57
11860,54
11861,5000
11862,60
11863,45
11864,82
11865,70
11866,1614
11867,134
11868,111
11869,63
11870,53
11871,89
11872,114
11873,43
11874,71
11875,56
11876,50
11877,63
11878,72
11879,85
11880,68
11881,2556
11882,79
11883,87
11884,75
11885,56
11886,212
11887,66
11888,62
11889,72
11890,68
11891,282
11892,110
11893,70
11894,64
11895,63
11896,2556
11897,132
11898,87
11899,78
11900,60
11901,72
11902,137
11903,55
11904,70
11905,59
11906,2556
11907,145
11908,69
11909,71
11910,62
11911,4494
11912,45
11913,48
11914,47
11915,61
11916,230
11917,54
11918,87
11919,119
11920,52
11921,1779
11922,49
11923,62
11924,49
11925,56
11926,46
11927,86
11928,60
11929,458
11930,47
11931,99
11932,67
11933,56
11934,69
11935,2556
11936,95
11937,73
11938,74
11939,56
11940,5000
11941,76
11942,51
11943,59
11944,56
11945,5000
11946,52
11947,64
11948,56
11949,66
11950,157
11951,75
11952,64
11953,45
11954,41
11955,5000
11956,55
11957,54
11958,49
11959,388
11960,2556
11961,69
11962,79
11963,69
11964,63
11965,2556
11966,75
11967,66
11968,71
11969,62
11970,2556
11971,81
11972,86
11973,73
11974,63
11975,2556
11976,83
11977,65
11978,70
11979,67
11980,5000
11981,90
11982,44
11983,56
11984,63
11985,62
11986,56
11987,69
11988,133
11989,792
11990,4146
11991,59
11992,52
11993,98
11994,102
11995,521
11996,50
11997,49
11998,76
11999,75
12000,2556
12001,68
12002,69
12003,168
12004,64
12005,3218
12006,76
12007,51
12008,59
12009,56
12010,2556
12011,106
12012,72
12013,80
12014,63
12015,75
12016,52
12017,107
12018,53
12019,65
12020,2556
12021,88
12022,47
12023,75
12024,59
12025,2556
12026,79
12027,151
12028,66
12029,59
12030,2556
12031,184
12032,90
12033,98
12034,168
12035,2556
12036,66
12037,89
12038,79
12039,55
12040,41
12041,59
12042,102
12043,56
12044,69
12045,122
12046,86
12047,63
12048,72
12049,50
12050,65
12051,132
12052,75
12053,5000
12054,56
12055,49
12056,68
12057,80
12058,51
12059,83
12060,429
12061,69
12062,53
12063,50
12064,48
12065,61
12066,56
12067,59
12068,71
12069,45
12070,60
12071,65
12072,73
12073,69
12074,55
12075,2556
12076,68
12077,115
12078,73
12079,60
12080,88
12081,107
12082,80
12083,73
12084,56
12085,120
12086,62
12087,47
12088,50
12089,52
12090,51
12091,83
12092,48
12093,58
12094,67
12095,64
12096,87
12097,98
12098,56
12099,68
12100,2556
12101,87
12102,45
12103,71
12104,60
12105,63
12106,55
12107,76
12108,5000
12109,104
12110,52
12111,52
12112,47
12113,54
12114,73
12115,46
12116,68
12117,111
12118,61
12119,68
12120,3485
12121,59
12122,49
12123,68
12124,80
12125,63
12126,70
12127,110
12128,54
12129,138
12130,47
12131,54
12132,58
12133,54
12134,58
12135,2556
12136,94
12137,54
12138,77
12139,60
12140,2556
12141,66
12142,56
12143,66
12144,56
12145,51
12146,70
12147,69
12148,83
12149,42
12150,2556
12151,84
12152,50
12153,73
12154,59
12155,3270
12156,49
12157,65
12158,47
12159,74
12160,2556
12161,106
12162,57
12163,81
12164,57
12165,2556
12166,72
12167,121
12168,71
12169,72
12170,2556
12171,81
12172,69
12173,73
12174,60
12175,44
12176,63
12177,51
12178,48
12179,77
12180,2556
12181,95
12182,56
12183,59
12184,541
12185,1730
12186,49
12187,51
12188,59
12189,73
12190,215
12191,67
12192,57
12193,61
12194,72
12195,2556
12196,109
12197,54
12198,77
12199,60
12200,58
12201,53
12202,92
12203,56
12204,95
12205,2556
12206,76
12207,89
12208,234
12209,53
12210,53
12211,74
12212,59
12213,60
12214,86
12215,5000
12216,68
12217,45
12218,82
12219,70
12220,2556
12221,89
12222,58
12223,70
12224,56
12225,472
12226,78
12227,62
12228,53
12229,85
12230,2556
12231,120
12232,79
12233,64
12234,60
12235,2556
12236,106
12237,42
12238,78
12239,60
12240,3369
12241,61
12242,63
12243,74
12244,55
12245,2556
12246,121
12247,94
12248,74
12249,60
12250,5000
12251,160
12252,58
12253,49
12254,61
12255,2556
12256,94
12257,100
12258,70
12259,60
12260,50
12261,51
12262,51
12263,57
12264,42
12265,2556
12266,86
12267,75
12268,71
12269,56
12270,2556
12271,97
12272,90
12273,82
12274,60
12275,2556
12276,97
12277,67
12278,83
12279,56
12280,2556
12281,106
12282,80
12283,95
12284,70
12285,2556
12286,80
12287,107
12288,121
12289,61
12290,2556
12291,61
12292,49
12293,78
12294,46
12295,1288
12296,86
12297,53
12298,55
12299,43
12300,2556
12301,147
12302,136
12303,71
12304,154
12305,2556
12306,66
12307,56
12308,66
12309,56
12310,2556
12311,116
12312,77
12313,75
12314,56
12315,1724
12316,77
12317,56
12318,54
12319,67
12320,2556
12321,123
12322,64
12323,71
12324,56
12325,107
12326,79
12327,66
12328,53
12329,44
12330,5000
12331,76
12332,90
12333,63
12334,52
12335,4115
12336,67
12337,46
12338,49
12339,49
12340,61
12341,58
12342,75
12343,56
12344,88
12345,2556
12346,97
12347,89
12348,78
12349,57
12350,2556
12351,71
12352,61
12353,66
12354,63
12355,329
12356,43
12357,54
12358,67
12359,69
12360,467
12361,72
12362,70
12363,55
12364,79
12365,54
12366,65
12367,42
12368,70
12369,94
12370,2556
12371,71
12372,69
12373,74
12374,56
12375,40
12376,82
12377,56
12378,61
12379,78
12380,1861
12381,46
12382,66
12383,5000
12384,53
12385,62
12386,52
12387,68
12388,115
12389,66
12390,75
12391,59
12392,48
12393,40
12394,75
12395,74
12396,61
12397,59
12398,2556
12399,163
12400,111
12401,79
12402,69
12403,2004
12404,84
12405,61
12406,76
12407,63
12408,1875
12409,77
12410,5000
12411,73
12412,49
12413,39
12414,56
12415,70
12416,55
12417,82
12418,132
12419,54
12420,62
12421,52
12422,56
12423,45
12424,66
12425,56
12426,63
12427,74
12428,2556
12429,100
12430,74
12431,74
12432,63
12433,2764
12434,70
12435,49
12436,56
12437,69
12438,1807
12439,98
12440,47
12441,77
12442,62
12443,55
12444,101
12445,85
12446,713
12447,45
12448,2556
12449,93
12450,100
12451,68
12452,60
12453,159
12454,51
12455,46
12456,50
12457,68
12458,5000
12459,63
12460,56
12461,50
12462,55
12463,62
12464,49
12465,63
12466,58
12467,52
12468,99
12469,64
12470,49
12471,95
12472,57
12473,2556
12474,82
12475,5000
12476,70
12477,49
12478,74
12479,69
12480,70
12481,51
12482,57
12483,50
12484,65
12485,80
12486,58
12487,58
12488,2556
12489,162
12490,60
12491,74
12492,61
12493,56
12494,53
12495,51
12496,57
12497,53
12498,2556
12499,85
12500,66
12501,65
12502,106
12503,41
12504,77
12505,100
12506,54
12507,79
12508,53
12509,52
12510,74
12511,81
12512,77
12513,5000
12514,53
12515,42
12516,67
12517,65
12518,70
12519,66
12520,81
12521,80
12522,50
12523,130
12524,61
12525,48
12526,73
12527,79
12528,55
12529,71
12530,78
12531,55
12532,74
12533,56
12534,57
12535,68
12536,53
12537,95
12538,58
12539,91
12540,105
12541,60
12542,74
12543,478
12544,119
12545,74
12546,78
12547,55
12548,2561
12549,58
12550,65
12551,63
12552,99
12553,1507
12554,56
12555,49
12556,54
12557,67
12558,406
12559,52
12560,62
12561,62
12562,84
12563,43
12564,80
12565,68
12566,121
12567,74
12568,117
12569,47
12570,59
12571,52
12572,61
12573,2787
12574,77
12575,56
12576,73
12577,67
12578,2556
12579,130
12580,67
12581,75
12582,59
12583,2556
12584,69
12585,5000
12586,80
12587,50
12588,67
12589,64
12590,63
12591,87
12592,73
12593,2556
12594,83
12595,94
12596,81
12597,57
12598,5000
12599,56
12600,62
12601,73
12602,63
12603,388
12604,74
12605,52
12606,64
12607,61
12608,2556
12609,145
12610,88
12611,75
12612,61
12613,2556
12614,108
12615,59
12616,113
12617,54
12618,2556
12619,88
12620,70
12621,62
12622,57
12623,280
12624,81
12625,50
12626,61
12627,78
12628,345
12629,69
12630,57
12631,73
12632,126
12633,464
12634,87
12635,54
12636,50
12637,2556
12638,81
12639,68
12640,95
12641,63
12642,58
12643,53
12644,68
12645,70
12646,74
12647,3230
12648,67
12649,59
12650,65
12651,61
12652,50
12653,51
12654,63
12655,58
12656,39
12657,2556
12658,157
12659,59
12660,71
12661,60
12662,5000
12663,77
12664,51
12665,92
12666,48
12667,2556
12668,64
12669,90
12670,70
12671,55
12672,59
12673,77
12674,64
12675,94
12676,47
12677,61
12678,72
12679,52
12680,67
12681,208
12682,58
12683,56
12684,47
12685,76
12686,2556
12687,67
12688,44
12689,78
12690,65
12691,409
12692,49
12693,66
12694,70
12695,66
12696,3279
12697,69
12698,60
12699,49
12700,62
12701,2556
12702,115
12703,68
12704,78
12705,59
12706,1129
12707,67
12708,54
12709,97
12710,82
12711,188
12712,57
12713,57
12714,51
12715,54
12716,1634
12717,103
12718,65
12719,75
12720,50
12721,87
12722,52
12723,58
12724,50
12725,45
12726,2556
12727,106
12728,57
12729,81
12730,57
12731,80
12732,64
12733,93
12734,56
12735,43
12736,37
12737,70
12738,59
12739,3422
12740,73
12741,78
12742,91
12743,54
12744,83
12745,74
12746,2556
12747,58
12748,5000
12749,89
12750,51
12751,2556
12752,85
12753,68
12754,153
12755,67
12756,49
12757,49
12758,65
12759,54
12760,59
12761,5000
12762,117
12763,74
12764,55
12765,50
12766,251
12767,67
12768,54
12769,97
12770,82
12771,61
12772,75
12773,70
12774,55
12775,56
12776,744
12777,72
12778,58
12779,74
12780,67
12781,2556
12782,66
12783,76
12784,80
12785,59
12786,145
12787,75
12788,56
12789,67
12790,66
12791,5000
12792,66
12793,53
12794,49
12795,70
12796,151
12797,64
12798,57
12799,57
12800,73
12801,2556
12802,186
12803,91
12804,117
12805,63
12806,42
12807,63
12808,99
12809,123
12810,62
12811,2556
12812,92
12813,69
12814,74
12815,60
12816,112
12817,58
12818,127
12819,73
12820,60
12821,85
12822,878
12823,325
12824,107
12825,48
12826,46
12827,336
12828,73
12829,79
12830,159
12831,84
12832,69
12833,48
12834,5000
12835,64
12836,2377
12837,83
12838,73
